punto,planta,horas,cap_turbina_kW,cap_biogas_kW,generacion_kWh,autoconsumo_kWh,excedente_kWh,excedente_permuta_kWh,excedente_bolsa_kWh
0,Planta A,5105,300.0,2000.0,10205599.873896,4516546.65,5689053.223896,0.0,5689053.223896
0,Planta B,5155,300.0,4000.0,17108380.869846,4157043.55,12951337.319845999,0.0,12951337.319845999
0,Planta C,5920,300.029356799295,3000.0,14222788.546295175,4591256.0,9631532.546295155,0.0,9631532.546295155
0,Planta D,5496,300.0,3000.0,14087398.40117568,3050499.84,11036898.56117568,0.0,11036898.56117568
0,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
0,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
1,Planta A,5105,300.0,2000.0,10205599.873896,4516546.65,5689053.223896,0.0,5689053.223896
1,Planta B,5155,300.0,4000.0,17108380.869846,4157043.55,12951337.319845999,0.0,12951337.319845999
1,Planta C,5920,4000.0,3000.0,31719521.113391995,4591256.0,27128265.113392,0.0,27128265.113392
1,Planta D,5496,300.0,3000.0,14087398.40117568,3050499.84,11036898.56117568,0.0,11036898.56117568
1,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
1,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
2,Planta A,5105,300.0,2000.0,10205599.873896,4516546.65,5689053.223896,0.0,5689053.223896
2,Planta B,5155,300.0,4000.0,17108380.869846,4157043.55,12951337.319845999,0.0,12951337.319845999
2,Planta C,5920,7000.0,3000.0,44940418.076730415,4591256.0,40349162.07673039,0.0,40349162.07673039
2,Planta D,5496,300.0,3000.0,14087398.40117568,3050499.84,11036898.56117568,0.0,11036898.56117568
2,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
2,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
3,Planta A,5105,300.0,2000.0,10205599.873896,4516546.65,5689053.223896,0.0,5689053.223896
3,Planta B,5155,300.0,4000.0,17108380.869846,4157043.55,12951337.319845999,0.0,12951337.319845999
3,Planta C,5920,7000.0,3000.0,44940418.076730415,4591256.0,40349162.07673039,0.0,40349162.07673039
3,Planta D,5496,3000.0,3000.0,25940921.68277568,3050499.84,22890421.84277568,0.0,22890421.84277568
3,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
3,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
4,Planta A,5105,300.0,2000.0,10205599.873896,4516546.65,5689053.223896,0.0,5689053.223896
4,Planta B,5155,9000.0,4000.0,52696236.01553299,4157043.55,48539192.46553301,0.0,48539192.46553301
4,Planta C,5920,5000.0,3000.0,36448405.273392,4591256.0,31857149.273392003,0.0,31857149.273392003
4,Planta D,5496,300.0,3000.0,14087398.40117568,3050499.84,11036898.56117568,0.0,11036898.56117568
4,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
4,Planta F,1931,300.0,2000.0,3350137.3773672,777633.01,2572504.3673672,0.0,2572504.3673672
5,Planta A,5105,300.0,2000.0,10205599.873896,4516546.65,5689053.223896,0.0,5689053.223896
5,Planta B,5155,9000.0,4000.0,52696236.01553299,4157043.55,48539192.46553301,0.0,48539192.46553301
5,Planta C,5920,7000.0,3000.0,44940418.076730415,4591256.0,40349162.07673039,0.0,40349162.07673039
5,Planta D,5496,1500.0,3000.0,19355630.97077568,3050499.84,16305131.13077568,0.0,16305131.13077568
5,Planta E,3147,300.0,3000.0,7989088.815628201,2841017.19,5148071.6256282,0.0,5148071.6256282
